Pk,Year,Shares
johnsma02,1991,0.558
robinda01,1991,0.534
barklch01,1991,0.249
malonka01,1991,0.159
drexlcl01,1991,0.084
johnske02,1991,0.036
wilkido01,1991,0.033
birdla01,1991,0.028
portete01,1991,0.028
ewingpa01,1991,0.022
stockjo01,1991,0.017
thomais01,1991,0.012
parisro01,1991,0.011
dumarjo01,1991,0.009
kingbe01,1991,0.008
smithke01,1991,0.006
olajuha01,1991,0.004
hardati01,1991,0.001
mchalke01,1991,0.001
johnsma02,1990,1.000
barklch01,1990,0.965
jordami01,1990,0.887
malonka01,1990,0.336
ewingpa01,1990,0.255
robinda01,1990,0.160
olajuha01,1990,0.101
chambto01,1990,0.019
stockjo01,1990,0.014
birdla01,1990,0.008
willibu01,1990,0.008
drexlcl01,1990,0.005
dumarjo01,1990,0.002
thomais01,1990,0.002
