Pk,Pos,Ht,Wt
nealcr01,G,6-5,165
nealga01,G,6-4,210
nealyed01,F,6-7,238
nedovne01,G,6-3,192
nelsode01,G,6-4,200
nelsoja01,G,6-0,190
nembhan01,G,6-5,193
nembhrj01,G,6-5,200
nembhru01,G,6-3,208
nesbyty01,F,6-6,225
nesmiaa01,G-F,6-5,215
nestera01,C,7-0,248
netora01,G,6-1,180
nevitch01,C,7-5,217
newbeme01,G,6-4,200
newbiiv01,F,6-9,245
newblir01,F,6-7,220
newmajo01,F-G,6-7,190
newmama01,G,6-3,190
niangge01,F,6-7,230
nichode01,F,6-8,216
nichoan01,F,6-9,250
nickega01,G,6-3,190
nimphku01,C-F,6-10,218
nixda01,G,6-5,224
nixdy01,F,6-7,210
nnajize01,F,6-9,240
noahjo01,C,6-11,230
nocioan01,F,6-7,225
noelda01,F,6-6,230
noelne01,C-F,6-10,220
noguelu01,C,7-0,241
nordgje01,F,6-7,225
normake01,F,6-8,215
norrimo01,G,6-1,175
norveza01,G,6-5,206
novakst01,F,6-10,225
nowelja01,G,6-4,201
nowelma01,G,5-8,160
nowitdi01,F-C,7-0,245
ntilila01,G,6-4,200
nunnke01,G,6-2,190
nunnaja01,F,6-7,208
nurkiju01,C,7-0,290
nwabada01,G,6-5,219
nworajo01,F,6-8,225
nwosuju01,C,6-10,255
obannch01,G-F,6-5,209
obanned01,F,6-8,222
obriejj01,F,6-7,228
obryajo01,F-C,6-9,257
obryapa01,C,7-0,260
onealje01,C-F,6-11,226
onealsh01,C,7-1,325
onealro01,F,6-4,226
oquinky01,F-C,6-9,250
osullda01,C,6-10,250
oaklech01,F-C,6-9,225
obertfa01,C-F,6-10,245
ochefda01,C,6-11,245
odengr01,C,7-0,250
odomla01,F,6-10,220
oggal01,C,7-2,240
ohlbrti01,C,6-11,255
ojelese01,F,6-6,240
okafoem01,C-F,6-10,252
okafoja01,C-F,6-10,270
okekech01,F,6-6,229
okoboel01,G,6-3,190
okogijo01,G,6-4,213
okongon01,F,6-8,235
okorois01,G-F,6-5,225
okpalkz01,F,6-8,215
okurme01,C-F,6-11,249
oladivi01,G,6-3,213
olajuha01,C,7-0,255
oldhaja01,C,7-0,215
olivebr01,G,6-4,210
oliveca01,F,6-8,239
olivede01,G,5-11,180
oliveji01,G-F,6-5,205
ollieke01,G,6-4,195
olowomi01,C,7-0,269
olynyke01,C-F,6-11,240
omorueu01,F,6-7,244
onimi01,G,6-5,206
onuakar01,C,6-9,255
onuakch01,F-C,6-10,245
ortizjo01,F,6-10,225
ortonda01,C-F,6-10,255
osmande01,F,6-7,230
ostergr01,C,7-2,280
othicma01,G,6-2,165
oturuda01,F-C,6-8,240
oubreke01,F,6-7,203
outlabo01,F,6-8,210
outlatr01,F,6-9,210
overtdo01,G,6-3,190
owensan01,G,6-4,200
owensbi01,F-G,6-8,220
owensch01,F,6-7,245
owenske01,F,6-7,225
owensla01,F,6-7,210
owensta01,F,6-10,205
owesra01,F,6-9,224
oyedeol01,C,6-10,240
pachuza01,C,6-11,270
packro01,G,6-2,180
paddige01,F-G,6-7,205
padgesc01,F,6-9,240
paigeja01,G,6-3,205
paigema01,G,6-1,175
palacmi01,G,6-3,195
palmetr01,G,6-6,200
palmewa01,C-F,7-1,215
pangoke01,G,6-2,179
pankoan01,F,6-9,222
papagge01,C,7-1,240
papanko01,F,6-8,225
pargoja01,G,6-1,175
pargoje01,G,6-2,219
parisro01,C,7-1,230
parkean01,G,6-6,215
parkeja01,F,6-8,245
parkesm01,G,6-4,190
parketo01,G,6-2,185
parksch02,C-F,6-11,235
parsoch01,F,6-9,230
pascher01,F,6-6,255
pasecan01,C,7-1,229
paspaza01,F,6-9,215
pattean01,F,6-9,238
pattela01,G-F,6-5,225
pattepa01,F,6-8,235
patteru01,F,6-5,224
pattoju01,C,6-11,241
paulbr01,G,6-4,200
paulch01,G,6-0,175
pavloal01,G-F,6-8,220
paxsoji02,G-F,6-6,200
paxsojo01,G,6-2,185
paynead01,F-C,6-10,237
payneca01,G,6-3,183
payneke01,F-G,6-8,195
paytoel01,G,6-3,195
paytoga01,G,6-4,180
paytoga02,G,6-2,190
pecheol01,C,7-0,232
peelean01,G,6-4,208
pekovni01,C,6-11,307
pelleno01,F-C,6-10,231
penbemi01,G,6-3,185
penigde01,F,6-7,245
penneki01,G,6-5,220
peplomi01,C,6-10,270
perduwi01,C,7-0,240
pereima01,F,6-8,177
perkike01,C,6-10,270
perkisa01,F-C,6-9,235
perovko01,C,7-2,240
perralo01,G,6-2,200
perryel01,G,6-0,150
perryre01,F-C,6-8,250
perryti01,F-C,6-9,200
persoch01,F,6-8,220
persowe01,G,6-6,195
peteral01,F,6-9,232
peterji01,F-C,6-10,235
peterdr01,G,6-9,205
petermo01,F,6-7,218
petrojo01,C,7-0,247
petrodr01,G,6-5,195
petrufi01,F-C,6-11,234
petruri01,C-F,6-10,260
phelpde01,G,6-4,181
phillju01,F,6-8,198
phillbo01,G,6-5,210
piatker01,G-F,6-7,215
pickeja02,G,6-4,209
pickeja01,G-F,6-9,206
piercpa01,F-G,6-7,235
piercri01,G,6-4,205
pietrmi01,G-F,6-6,215
pincked01,F,6-9,195
pinknke01,F,6-10,245
pinsoth01,G,6-5,212
pippesc01,F-G,6-8,210
pippesc02,G,6-1,185
pittmde01,C,6-11,308
planizo01,G,6-7,195
pleisti01,C,7-3,256
plumlma02,C,7-0,250
plumlma01,C-F,6-10,254
plumlmi01,C-F,6-11,249
plummga01,F-C,6-9,215
podkopa01,C,7-5,260
podzibr01,G,6-5,205
poeltja01,C,7-0,245
poirivi01,C,7-0,235
pokusal01,F,7-0,190
pollasc01,C,6-11,265
polynol01,C-F,6-11,220
pondequ01,G-F,6-7,230
pondssh01,G,6-0,180
ponsyv01,F,6-6,215
poolejo01,G,6-4,194
popema01,F,6-10,235
popsoda01,F-C,6-10,220
portech01,F,6-7,218
portecr01,G,6-2,186
portejo01,F-C,6-11,240
porteke02,G,6-4,203
portemi01,F,6-10,218
porteot01,F,6-8,198
portete01,G,6-3,195
portibo01,F,6-10,250
porzikr01,F-C,7-2,240
poseyja01,F-G,6-8,215
postela01,G,6-5,215
potapvi01,C,6-10,280
pottemi01,C,6-10,248
powele01,F,6-8,240
poweldw01,F-C,6-10,240
poweljo01,F,6-9,225
powelka01,F,6-7,215
powelmy01,G,6-2,195
powelno01,G,6-3,215
powelro01,F,6-6,235
poythal01,F,6-9,235
presspa01,G-F,6-5,185
pressph01,G,5-11,175
pressha01,F-G,6-7,210
prestja01,G,6-4,187
priceaj01,G,6-2,181
pricebr01,G,6-1,165
pricema01,G,6-0,170
pricero01,G,6-2,190
prigipa01,G,6-3,185
primojo01,G,6-6,190
princta02,F,6-6,218
princta01,F,6-9,212
pritcke01,G,6-3,180
pritcpa01,G,6-1,195
profila01,G-F,6-5,204
prospol01,F,6-8,230
pruitga01,G,6-4,170
przybjo01,C,7-1,255
pullaan01,F,6-10,245
pulleja01,G,6-1,200
purviro01,G,6-4,205
qizh01,F-C,7-1,210
quartti01,G,6-6,195
queentr01,G,6-6,190
quetane01,C,7-0,245
quickim01,G,6-3,190
quinnch01,G,6-2,185
quinnbr01,F,6-8,235
quinole01,G,6-5,208
rabbiv01,F,6-10,220
radjadi01,F-C,6-11,225
radmavl01,F,6-10,227
radojal01,C,7-3,250
radulmi01,C,7-0,250
rakocig01,G,6-3,183
rambiku01,F,6-8,213
ramospe01,C,7-3,275
ramseja01,G,6-3,190
randama01,F,6-8,235
randlch01,G,6-2,185
randlju01,F-C,6-8,250
randoan01,F,6-10,205
randosh01,F,6-10,240
randoza01,F-C,6-9,250
rasmubl01,C,7-0,250
rathaxa01,G,6-4,208
ratlith01,C-F,6-10,225
rautian01,G,6-4,190
rayal01,G,6-2,190
reathdu01,C,6-11,245
reaveau01,G,6-5,206
reavejo02,G,6-4,214
rebraze01,C,7-0,257
recasel01,G,6-3,190
reddmi01,G,6-6,220
reddica01,F,6-8,218
redicjj01,G,6-3,200
reedda01,G,6-5,208
reedju01,F,6-8,240
reedpa01,F,6-9,210
reedwi02,F-C,6-10,220
reevebr01,C,7-0,275
reevekh01,G,6-3,199
reiddo01,F,6-8,250
reidjr01,F,6-9,247
reidna01,F,6-9,264
reidro01,F-G,6-8,205
reidry01,F,6-8,232
reineja01,C,6-11,255
renchte01,G,6-3,185
rentzef01,C,6-11,250
respesh01,G,6-1,195
reynoca01,G,6-7,225
reynoje01,G-F,6-8,200
rhodeja01,G,6-6,210
rhodero01,G-F,6-6,225
ricegl01,F,6-8,215
ricegl02,G,6-6,206
richach01,F,6-9,270
richani01,F-C,7-0,245
richaja01,G,6-6,220
richaje01,G-F,6-6,185
richajo01,G,6-5,200
richama01,G,6-6,205
richano01,G,6-5,190
richapo01,G,6-1,180
richaqu01,G-F,6-6,223
richmmi01,G,6-5,215
rideris01,G,6-5,215
ridnolu01,G,6-2,175
rigauan01,G,6-7,210
rileyer01,C,7-0,245
rillegr01,G,6-2,190
riverau01,G,6-4,200
riverda01,G,6-0,170
riverdo01,G,6-4,185
roberan03,G-F,6-7,210
roberan02,G,6-2,180
roberte01,F,6-7,215
roberbr01,G,6-1,173
roberfr01,F-C,6-10,218
roberla01,F,6-9,240
roberst01,C,7-0,285
roberal01,G,6-4,185
roberry01,G,6-5,190
robinbe01,G-F,6-6,210
robinch01,G,6-5,200
robincl01,F,6-9,220
robincl02,F-C,6-10,225
robinda01,C,7-1,235
robinde01,F,6-8,200
robindu01,G-F,6-7,215
robined01,G-F,6-8,210
robingl01,F,6-7,225
robingl02,G-F,6-6,222
robinja03,F,6-7,212
robinja02,G,6-2,180
robinje01,G,6-4,190
robinju01,G,6-1,195
robinla01,F-G,6-3,180
robinmi01,C,7-0,240
robinna01,G,5-9,180
robinor01,F,7-0,235
robinru01,G,6-2,195
robinth01,F,6-10,237
robinje02,F,6-9,230
robyis01,F,6-8,230
roddyda01,F,6-4,255
rodmade01,F,6-7,210
rodrise01,G,6-3,176
roelo01,F,6-7,220
rogerca01,C-F,6-11,220
rogerro01,F,6-7,235
rogerro02,F,6-10,235
rolliry01,G,6-4,180
rollitr01,C,7-1,235
rondora01,G,6-1,180
rooksse01,C,6-10,250
rosede01,G,6-3,200
roseja01,G-F,6-8,210
rosema01,F-C,6-7,250
rossqu01,G,6-6,195
rosste01,F-G,6-6,206
rothdo01,C,6-11,255
rothsc01,F,6-8,212
rowinji01,F-C,6-8,250
rowsobr01,F,6-9,220
roybr01,G,6-6,215
royaldo01,F,6-8,210
roziecl01,C-F,6-11,245
roziete01,G,6-1,190
rubiori01,G,6-2,190
ruckegu01,F-C,6-11,265
ruddde01,G,6-2,180
rudezda01,F,6-10,228
ruffimi01,F,6-9,246
ruffitr01,G,6-1,185
rulanje01,C-F,6-10,240
ruperra01,G,6-6,205
ruscost01,C-F,6-9,240
rushbr01,G-F,6-6,220
rushka01,G,6-6,215
russebr01,F,6-7,225
russeda01,G,6-3,193
russewa02,G,6-0,170
ryanma01,F,6-6,215
sabonar01,C,7-3,279
sabondo01,C-F,6-10,240
sacrero01,C,7-0,270
sallejo01,F-C,6-11,230
salmojo01,G,6-7,210
salvake01,C,7-0,231
samakso01,C,7-0,230
samanlu01,F,6-10,227
sambch01,C,7-1,245
sampsbr01,G,6-5,184
sampsja02,G-F,6-7,214
sampsja01,F-C,6-11,235
sampsra01,C-F,7-4,228
samueje01,F,6-7,230
samuesa01,F,6-9,260
sanchpe01,G,6-4,195
sandeje01,F,6-8,225
sandela01,C-F,6-11,235
sandeme01,G-F,6-5,210
sandemi01,F-G,6-6,210
sanogad01,F,6-9,245
santida01,C,7-1,256
santogu01,F,6-8,209
saricda01,F-C,6-10,225
sarrol01,C,7-0,237
sasseja01,F,6-7,225
sasseje01,G,6-6,200
sassema01,G,6-2,195
satorto01,G,6-7,210
satteke01,G,6-2,186
savovpr01,G,6-6,225
scalabr01,F,6-9,241
scaleal01,G,6-4,185
schakjo01,F,6-6,200
schayda01,C-F,6-11,235
schefst01,C-F,6-9,250
schenlu01,C,7-1,255
schindw01,C,7-1,260
schofad01,G-F,6-5,241
schrede01,F-C,6-10,235
schrode01,G,6-1,172
scolalu01,F,6-9,240
scottbr01,F-C,6-10,250
scottby01,G,6-3,195
scottde01,F,6-8,229
scottja01,F,6-6,180
scottmi01,F,6-7,237
scottsh01,C,6-10,250
scotttr01,F,6-8,225
scrubja01,G-F,6-5,220
seabrde01,G,6-7,180
sealssh01,G,6-5,210
sealyma01,G,6-8,190
sefolth01,G-F,6-6,215
seikaro01,C,6-11,230
selbyjo01,G,6-2,183
seldewa01,G-F,6-5,230
sellebr01,C-F,7-0,210
senesa01,C-F,6-11,230
sengual01,C-F,6-11,235
sensabr01,F,6-6,235
serapke01,F,6-9,285
sesayan01,F,6-9,225
sessira01,G,6-3,190
seungha01,C,7-3,305
sextoco01,G,6-3,190
shackch01,F-C,6-10,225
shakumu01,G,6-3,190
shamela01,G,6-4,190
shammgo01,G,6-0,169
sharpda01,C,6-11,265
sharpsh01,G,6-6,200
sharpwa01,F,6-9,245
shaskjo01,C,6-11,235
shawbr01,G,6-6,190
shawca01,C,6-11,260
shayoma01,G,6-5,198
shengto01,F,6-9,217
sheppbe01,G,6-6,190
sheppje01,G,6-3,190
shirlpa01,F-C,6-10,230
shortpu01,F-G,6-7,210
shousde01,G,6-2,200
shumpim01,G,6-5,215
shvedal01,G,6-6,190
siakapa01,F-C,6-8,230
siberjo01,G,6-4,187
sichtje01,G,6-1,168
sikmaja01,C-F,6-11,230
silasxa01,G,6-5,205
silerga01,C,6-11,305
silvach01,F,6-8,234
simiewa01,F,6-9,255
simmobe01,G-F,6-10,240
simmobo01,G-F,6-7,210
simmoce01,F,6-9,235
simmojo02,G-F,6-6,195
simmoko01,G,6-5,166
simmoli01,F-G,6-7,210
simonmi01,G,6-3,202
simonma01,C,6-11,216
simonan01,G,6-3,181
simpkdi01,F,6-9,248
simpsza01,G,6-0,190
simsal01,G,6-4,235
simsco01,C,6-10,245
simshe01,C,6-10,248
simsje01,F,6-10,245
singlky01,F,6-8,228
singlse01,G,6-0,185
singlch01,F,6-8,230
singlja01,F,6-8,216
sirvyde01,G-F,6-8,190
sivape01,G,6-0,185
skapidm01,C,7-1,260
skilesc01,G,6-1,180
skinnbr01,F,6-9,255
slatere01,F,6-7,215
slawsja01,F,6-7,215
slayta01,G,6-8,215
sloando01,G,6-3,205
slokaur01,F,6-10,238
smailal01,F,6-10,215
smartja01,G,6-4,205
smartma01,G,6-3,220
smithch01,F-C,6-10,230
smithch02,G,6-1,160
smithch04,G,6-4,194
smithch03,G,6-3,190
smithch05,G,6-2,200
smithcl01,F,6-6,210
smithcr01,F,6-7,250
smithde03,G,6-2,205
smithde02,G-F,6-6,205
smithdo04,G-F,6-7,215
smithdo03,F,6-10,220
smithdr01,G,6-3,203
smithgr02,C,6-10,250
smithis01,G,6-0,175
smithjr01,G-F,6-6,225
smithja01,C,6-11,250
smithja05,F,6-11,220
smithja04,F,6-10,215
smithja02,F-C,7-0,240
smithje01,G,6-2,190
smithjo02,F,6-10,225
smithjo03,F,6-9,225
smithke01,G,6-3,170
smithla02,G,6-3,200
smithla01,F-C,6-8,215
smithle01,C,6-10,235
smithmi01,F,6-10,225
smithmi02,F,6-8,230
smithmi03,F,6-8,195
smithni01,G,6-5,185
smithno01,G,6-2,185
smithot01,G-F,6-5,210
smithre01,C,6-10,240
smithru01,G,6-0,165
smithst01,G,6-8,200
smithst03,F,6-8,235
smithst02,G,6-2,208
smithte01,G,6-4,165
smithth01,F,6-8,225
smithto02,G,6-3,185
smithzh01,G,6-3,205
smitsri01,C,7-4,250
smrekmi01,C,7-0,250
sneedxa01,F,6-5,215
snellto01,G-F,6-6,213
snower01,G,6-3,190
snydeki01,G,6-6,225
sochaje01,F-G,6-8,230
solomwi01,G,6-1,185
songada01,F,6-9,248
southja01,F,6-8,215
sowpa01,F,6-10,250
spaldra01,F,6-10,215
spanova01,G,6-4,195
sparrro01,G,6-2,175
speigma01,C-F,6-10,255
spellom01,F,6-8,245
spencan01,F,6-6,210
spencel01,C,7-0,270
spencfe01,C,7-0,265
spencpa01,G,6-3,205
splitti01,F-C,6-11,245
sprewla01,G,6-5,190
sprinja01,G,6-4,204
stackry01,F,6-11,215
stackje01,G-F,6-6,218
stanlca01,G,6-5,190
starkjo01,G,6-5,180
stausni01,G,6-6,205
steigma01,F,6-7,225
stepavl01,C,7-0,236
stephdj01,G-F,6-5,188
stephev01,G,6-2,175
stephjo01,F,6-7,210
stephla01,G-F,6-6,230
stephal01,F,6-10,270
steveba01,G-F,6-5,195
stevela01,F,6-6,230
stevede01,G,6-5,210
stewais01,F-C,6-8,250
stewake01,F,6-8,239
stewala01,F,6-8,220
stewami01,C,6-10,230
stiemgr01,C,6-11,260
stithbr01,G,6-5,208
stivral01,F,6-8,220
stockda01,G,5-11,165
stockjo01,G,6-1,170
stojape01,F,6-10,229
stokeed01,C,7-0,264
stokegr01,F-C,6-10,220
stokeja01,F-C,6-9,263
stonedi01,C,6-11,255
stoneju01,G,6-6,200
storeaw01,G-F,6-6,222
stoudda01,G,5-10,171
stoudsa01,G,6-1,179
stoudam01,F-C,6-10,245
strawdj01,G,6-5,201
strawju01,F,6-7,205
stricer01,G,6-3,210
stricma01,F,6-9,210
stricro02,G,6-3,175
stronde01,F,6-8,220
strotla01,G,6-4,190
strusma01,G,6-5,215
stuckro01,G,6-5,210
suggsja01,G,6-5,205
sullija01,F,6-9,260
summeda01,F,6-8,230
sumneed01,G,6-4,196
sundobr01,C,7-2,220
sundvjo01,G,6-2,170
surabo01,G,6-5,200
suttogr01,G,6-2,170
swanica01,F,6-9,260
sweetmi01,F,6-8,275
swideco01,F,6-9,220
swiftro01,C,7-0,245
swiftst01,F,6-9,225
swinsaa01,F,6-5,230
swordcr01,G,6-3,196
sypa01,F,6-7,225
sykeske01,G,6-0,180
sykesla01,F,6-9,255
szabobr01,C,6-11,230
szczewa02,F,6-7,244
tabakza01,C,7-0,245
tabusyu01,G,5-9,165
taftch01,F,6-10,260
tarladr01,C,6-10,260
tarplro01,C-F,6-11,230
tateja01,F,6-4,230
tatumja01,F,6-8,210
tavarwa01,C,7-3,260
taylodo01,G,6-6,180
taylois01,G,6-3,170
tayloja01,G,6-3,190
tayloje03,F,6-7,225
tayloje02,G,6-4,210
taylojo01,F,6-9,220
taylole01,F,6-8,220
tayloma01,F,6-9,260
taylomi01,G,6-2,165
taylote01,G-F,6-5,230
tayloty01,G,6-3,185
teaglte01,F-G,6-5,195
teaguje01,G,6-3,195
teaguma01,G,6-2,189
teletmi01,F,6-9,242
telfase01,G,6-0,165
templga01,G,6-5,195
teodomi01,G,6-5,196
terreja01,G,6-3,227
terryda01,G,6-7,195
terryem01,F,6-9,220
terryja01,G,6-2,185
terryty01,G,6-2,160
teskejo01,C,7-1,265
thabeha01,C,7-3,263
theisda01,C,6-8,245
theusre01,G,6-6,190
thomaad01,F,6-7,200
thomabi01,G,6-4,208
thomabr01,G,6-5,185
thomaca02,G,6-4,210
thomaca01,G,6-4,175
thomach01,G,6-3,175
thomaet01,F,6-9,256
thomair01,F,6-8,225
thomais02,G,5-9,185
thomais01,G,6-1,180
thomaja01,F,6-6,215
thomaja02,F,6-8,235
thomaji01,G,6-3,190
thomajo02,F,6-9,265
thomake01,F,6-7,261
thomakh01,G,6-3,210
thomaku01,F,6-9,230
thomala01,F,6-8,240
thomama01,F,6-9,225
thomama02,G,6-4,190
thomati01,F,6-10,230
thomaty01,F,6-9,215
thomptr02,F,6-10,245
thompam01,G,6-7,209
thompau01,G,6-7,215
thompbi01,F,6-7,195
thompbr01,G,6-4,193
thompdi01,G-F,6-7,195
thompho01,G-F,6-8,206
thompja02,F-C,6-11,250
thompke01,C-F,6-11,260
thompkl01,G-F,6-6,215
thompla01,C-F,6-10,245
thompmy01,C-F,6-10,226
thompmy02,G,6-6,211
thompst01,G,6-4,185
thomptr01,F-C,6-9,254
thorjt01,F,6-10,205
thornal01,F,6-8,220
thornbo01,F-C,6-10,225
thornma01,G,6-4,205
thornsi01,G,6-4,215
thorpot01,F-C,6-10,248
threase01,G,6-2,175
thybuma01,G,6-5,201
tilliki02,F,6-9,220
tillmxa01,F,6-8,245
tinslja01,G,6-3,195
tisdawa01,F-C,6-9,240
tobeymi01,C,7-0,260
toddis01,F,6-10,220
tolbeto01,F-C,6-7,235
tollian01,F-C,6-8,240
toneyse01,G,6-2,178
toolsan01,G-F,6-6,210
toppija01,F,6-9,205
toppiob01,F,6-9,220
torreos01,F,6-6,210
toscaju01,F,6-6,209
toupaax01,G-F,6-7,197
towerke01,C-F,6-11,250
townska01,C-F,7-0,248
traylro01,F,6-8,284
trentga01,F,6-8,250
trentga02,G,6-5,209
trepaje01,G,6-4,200
trieral01,G,6-4,200
tripuke01,F-G,6-6,220
trybace01,C,7-2,240
tsakaja01,C,7-2,285
tshieos01,F,6-9,260
tskitni01,F,7-0,225
tuckeal02,F,6-6,205
tuckean01,F,6-8,220
tuckepj01,F,6-5,245
tuckera01,F,6-3,209
tucketr01,G,6-5,193
turiaro01,F,6-10,249
turkcmi01,F,6-9,236
turkohe01,F,6-10,220
turnean01,G,5-11,160
turneev01,G,6-6,220
turnehe02,G-F,6-7,200
turneje01,F-C,6-9,230
turnejo01,F,6-8,245
turnemy01,C-F,6-11,250
turnewa01,G,6-2,190
turpime01,C,6-11,240
tylerbj01,G,6-1,185
tylerje01,C,6-10,260
tysonhu01,F,6-8,215
ubileed01,G,6-6,204
udohek01,C-F,6-10,245
udokaim01,F,6-6,215
udrihbe01,G,6-3,205
ukicro01,G,6-5,183
ulisty01,G,5-10,160
umudest01,G,6-6,210
upshake01,G,6-2,180
uthofja01,F,6-9,221
uzohbe01,G,6-3,205
valanjo01,C,6-11,265
valenda01,G,6-1,183
valende01,G,6-4,220
vanexni01,G,6-1,170
vanhoke01,F,6-10,220
vanvlfr01,G,6-0,197
vandelo01,F,6-8,215
vandeja01,F,6-8,214
vandeki01,F,6-8,220
vanteda01,G,6-5,200
vardara01,C,7-1,260
varejan01,F-C,6-11,273
varnaja01,F,6-9,230
vasqugr01,G,6-6,217
vassede01,G-F,6-5,200
vaughda02,F,6-9,240
vaughja01,G,6-1,190
vaughra01,G,6-6,202
vaughlo01,F,6-9,230
veselja01,F,6-11,240
vetragu01,F,6-6,195
vezenal01,F,6-9,225
viannjo01,F,6-9,215
villach01,F,6-11,232
vincega01,G,6-3,195
vinceja01,F,6-7,220
vincesa01,G,6-2,185
vincima01,F,6-8,225
vinsofr01,G,6-4,190
vocega01,F,6-9,240
volkoal01,C,6-10,218
vonleno01,F-C,6-10,257
voskuja01,C,6-11,245
vranesl01,C,7-5,275
vrankst01,C,7-2,260
vromaja01,F-C,6-10,220
vucevni01,C,6-10,260
vujacsa01,G,6-7,195
vukcetr01,F-C,7-0,223
wadede01,F,6-9,228
wadedw01,G,6-4,220
wafervo01,G,6-5,210
wagneda02,G,6-2,200
wagnefr01,G-F,6-10,225
wagnemo01,F-C,6-11,245
wainris01,F,6-6,250
waitedi01,G,6-3,215
walkean02,F,6-9,224
walkeda01,G,6-4,180
walkebi01,F,6-6,220
walkeja01,F,6-9,215
walkeja02,F,6-8,240
walkeke02,G,6-0,184
walkeke01,F,6-8,210
walkelo01,G,6-4,204
walkemj01,G,6-5,213
walkesa01,F,6-9,240
walljo01,G,6-3,210
wallabe01,F-C,6-9,240
wallaca01,G,6-4,193
wallage01,F,6-7,215
wallajo01,F,6-8,225
wallara01,F-C,6-11,225
wallaty01,G,6-5,198
walshjo01,G-F,6-7,205
walshma01,G-F,6-6,205
waltere01,G,6-4,190
waltode01,G,6-0,189
waltolu01,F,6-8,235
wanambr01,G,6-3,210
wardch01,G,6-2,190
wareca01,G,5-10,175
warneja01,F,6-8,260
warretj01,F,6-8,220
warrewi01,G,6-4,203
warriha01,F,6-9,219
washbju01,F,6-8,210
washida01,G,6-2,195
washidu01,G,6-4,195
washidu02,G,6-3,210
washier01,G,6-4,190
washipj01,F,6-7,230
washity02,G,6-3,197
watanyu01,F,6-9,215
waterli01,G,6-6,215
watertr01,G,5-10,175
watfotr01,F,6-9,240
watkida01,C,6-11,258
watsocj01,G,6-2,175
watsoea01,G,6-1,195
watsoja01,F,6-7,190
watsopa01,G,6-6,210
watsope01,G-F,6-8,200
waynsma01,G,6-2,200
wearda01,F,6-10,230
weartr01,F,6-10,230
weathcl01,F,6-6,240
weathqu01,G,6-3,205
weaveky01,G,6-6,201
webbja01,F,6-9,202
webbma01,F-C,6-9,255
webbsp01,G,5-6,133
webbech01,F-C,6-10,245
weberbr01,G,6-2,165
webstje01,F,6-8,232
webstma02,G-F,6-7,230
weemsso01,G-F,6-6,205
wellsbo01,G-F,6-5,210
wellsbu01,F,6-5,230
welscji01,G,6-7,208
welshth01,C,7-0,255
wembavi01,C-F,7-4,209
wennibi01,C,7-0,245
wenstma01,C,7-1,250
werdaro01,C,6-11,250
weslebl01,G,6-5,185
wesleda01,G,6-0,190
westda01,F-C,6-9,250
westde01,G,6-4,180
westdo01,G-F,6-6,200
westma02,G,6-5,210
westma01,C-F,6-10,230
westbru01,G,6-4,200
whalero01,C,6-10,260
whatlen01,G,6-3,177
wheatde01,G,6-0,165
wheelty01,G,5-10,165
whitean01,G,6-7,210
whiteco01,G,6-5,195
whitedj01,F,6-9,251
whitede01,G,6-4,190
whiteja03,F,6-7,225
whiteja01,F-C,6-9,290
whiteja02,G-F,6-7,200
whiteok01,F,6-8,205
whitera01,F,6-8,240
whitero02,F,6-9,238
whitero03,F,6-8,270
whiteis01,G,6-4,213
whitedo01,G,5-10,160
whiteha01,C,7-0,265
whitfdw01,F,6-9,240
whitmca01,F,6-7,232
whitnch01,G,6-0,168
whittgr01,F,6-8,210
whittsh01,F-C,6-11,250
wieskjo01,G,6-6,212
wiggiaa01,G,6-6,200
wiggian01,F-G,6-7,197
wiggimi01,G,6-4,185
wiggili01,G,6-2,189
wilcocj01,G,6-5,195
wilcoch01,F,6-10,221
wileyja01,F,6-7,215
wileymo01,G,6-4,185
wilkida02,F-G,6-6,225
wilkido01,F-G,6-8,215
wilkied01,F-C,6-10,220
wilkige01,G-F,6-6,185
wilksmi01,G,5-10,185
williaa01,F-C,6-9,220
willial03,F-C,6-8,265
willial06,G,6-4,210
willial02,G,6-5,185
willibr01,G,6-6,215
willibr03,G,6-2,190
willibu01,F-C,6-8,215
willicj01,G,6-5,226
willico01,G,6-2,190
willide01,G,6-3,200
willide02,F,6-8,240
willido02,F,6-6,190
williel01,G,6-5,190
willier01,F,6-8,220
willifr02,G,6-3,212
willigr01,F,6-6,236
willihe01,C-F,6-10,242
williho01,F-C,6-11,215
willija06,G,6-5,195
willija02,G,6-1,190
willija04,F,6-9,218
willija03,G,6-2,195
willija07,F,6-9,240
willija01,F-C,6-9,240
willije02,G,6-5,205
willije01,F,6-9,206
willijo02,F-C,6-8,235
willijo04,F,6-9,228
willijo03,F,6-10,260
williju01,F,6-10,225
willike03,F,6-9,205
willike04,G-F,6-6,210
willilo01,F-C,6-9,200
willilo02,G,6-2,175
willima11,C,6-11,250
willima03,G,6-3,205
willima04,F,6-7,205
willima07,C,7-0,241
willima02,F,6-8,237
willima05,G,6-5,210
willimi02,G,6-2,175
willima01,G,6-1,198
willimo01,F,6-8,225
willipa01,F,6-7,215
willire01,F-G,6-7,190
willire02,F,6-6,205
williro04,C-F,6-9,237
willisc01,F-C,6-10,230
willise01,C-F,6-10,235
willish01,G,6-1,201
willish03,F,6-9,225
willish02,F,6-9,250
willite01,F,6-6,220
willitr01,F,6-6,215
willitr02,F,6-7,218
willivi01,F,6-4,205
williwa02,F-G,6-8,219
willizi02,F,6-9,215
