Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
2022,Warriors,53,29,0.646,2nd of 5,5.52,98.4,0.2,112.5,0.5,106.9,-5.1,5.6,5.6,Championship,4,0,0.643
2001,Kings,55,27,0.671,2nd of 7,6.07,94.4,3.1,105.6,2.6,99.6,-3.4,6,6.0,2nd Rnd. Exit,1,1,0.641
2024,Nuggets,57,25,0.695,2nd of 5,5.23,96.8,-1.7,118.5,3.2,113,-2.3,5.5,5.5,2nd Rnd. Exit,1,1,0.641
2004,Pistons,54,28,0.659,2nd of 8,5.04,87.9,-2.2,102,-0.9,95.4,-7.5,6.6,6.6,Championship,4,0,0.641
2008,Spurs,56,26,0.683,2nd of 5,5.1,88.8,-3.6,107.2,-0.3,101.8,-5.7,5.4,5.4,Conf. Finals,2,1,0.640
1991,Suns,55,27,0.671,3rd of 7,6.49,101,3.2,112.6,4.7,106.1,-1.8,6.5,6.5,1st Rnd. Exit,0,1,0.638
1997,Hawks,56,26,0.683,2nd of 8,5.52,86.8,-3.3,108.5,1.8,102.3,-4.4,6.2,6.1,2nd Rnd. Exit,1,1,0.638
1993,Cavaliers,54,28,0.659,2nd of 7,6.3,94.8,-2,112.7,4.7,106,-2,6.7,6.7,2nd Rnd. Exit,1,1,0.637
2008,Pelicans,56,26,0.683,1st of 5,5.46,89.9,-2.5,111.5,4,105.7,-1.8,5.8,5.8,2nd Rnd. Exit,1,1,0.637
2017,Rockets,55,27,0.671,2nd of 5,5.84,100,3.6,114.7,5.9,109,0.2,5.7,5.7,2nd Rnd. Exit,1,1,0.636
2015,Spurs,55,27,0.671,3rd of 5,6.34,93.8,-0.1,108.5,2.9,102,-3.6,6.5,6.5,1st Rnd. Exit,0,1,0.635
2022,Grizzlies,56,26,0.683,1st of 5,5.37,100.3,2.1,114.6,2.6,109,-3,5.6,5.6,2nd Rnd. Exit,1,1,0.635
1994,Hawks,57,25,0.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,5.5,5.5,2nd Rnd. Exit,1,1,0.635
